0.005,112.5
0.01,85.6
0.015,86.0
0.02,88.1
0.025,85.2
0.03,84.7
0.035,84.6
0.04,84.6
0.045,84.3
0.05,84.4
0.055,84.4
0.06,84.0
0.065,84.6
0.07,84.9
0.075,84.0
0.08,85.2
0.085,92.0
0.09,103.8
0.095,109.8
0.1,96.1
0.105,91.2
0.11,87.3
0.115,90.5
0.12,91.0
0.125,99.7
0.13,89.2
0.135,87.0
0.14,83.8
0.145,85.3
0.15,86.4
0.155,84.5
0.16,84.7
0.165,87.0
0.17,84.0
0.175,85.6
0.18,84.3
0.185,88.6
0.19,84.7
0.195,84.0
0.2,84.1
0.205,84.1
0.21,84.3
0.215,83.4
0.22,84.3
0.225,83.8
0.23,84.0
0.235,84.3
0.24,83.7
0.245,85.1
0.25,86.7
